"CUSTOMSSTAT","BARCODE","PRICE","QUANTITY","CATEGORY","DOM","BATTERYSTAT","NAME"
"true","11000000010","990","49","Cleaning","920","false","CleanVend"
"false","1100000000","9500","31","Cleaning","921","false","RikoClean"
"true","1200000001","8100","85","Media","118","true","Dolby Atmos DVR"
"false","1200000009","9400","55","Media","101","true","SenHeiser HD2"
"true","13000000016","7500","93","Phone","2021","false","Iphone 13"
"false","13000000017","7700","6","Phone","2020","true","S20+"
"false","13000000019","1000","99","Phone","2018","false","Huwawei G40"
"true","1400000003","4300","91","TV","2002","false","Samsung QLED 40"
"false","14000000013","1900","73","TV","2020","true","LG PROTV 60"
"false","11000000230","1400000","10","TV","2020","true","Samsung UQHD 100'"
