"Name","PhoneNumber","Email"
"Pablo's Items","53135672","pablo@pablo.pab"
"Juan's Mexican Etiquet","56120923","juan@gmail.com"
"Assem's Goods","12358046","assem.A@gmail.com"
"Khalid's Imports","16890767","khaled.Imp@gmail.com"
"Mohammad And Bros.","16889903","moh.B@gmail.com"
"Assi's Cheese","12221546","assi@assi.assi"
"Kawas's Flight","77885646","kawas.AlTa2er.com"
"Yateem and Co.","46290478","moe.yat@gmail.com"
"Sweid Electrics","11223344","sweid@gmail.com"
"Mneimneh All Inc.","71489910","youssef@mmneimneh.net"
